,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_epochs,param_num_neurons,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2132,2.3696192105611167,0.8102687578609421,0.18748895327250162,0.03375106185822444,sigmoid,50,10,128,Adam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 128, 'optimizer': 'Adam'}",-0.6803848723570506,-0.6322430377205213,-0.5961590121189754,-0.636262307398849,0.0345023166349864,2343
2133,1.633513371149699,0.11635455695042016,0.15237188339233398,0.008474474657443548,sigmoid,50,10,128,Adamax,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 128, 'optimizer': 'Adamax'}",-0.5941891640424728,-0.5860405301054319,-0.515912119547526,-0.5653806045651436,0.0351373335756871,1621
2134,1.6977914969126384,0.03210477586859805,0.14061514536539713,0.012757175075112077,sigmoid,50,10,128,Nadam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 128, 'optimizer': 'Nadam'}",-0.535729356110096,-0.5399444207549096,-0.4638993968566259,-0.5131910579072104,0.03489692039262946,977
2135,1.3748997847239177,0.044192263188035895,0.1510306199391683,0.019485866335649565,sigmoid,50,50,8,SGD,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 8, 'optimizer': 'SGD'}",-0.6826304505268733,-0.7244810452063878,-0.6816908925771713,-0.6962674627701442,0.01995370254197199,2882
2136,1.5103061993916829,0.06420890714521595,0.15623911221822104,0.012758440417931049,sigmoid,50,50,8,RMSprop,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 8, 'optimizer': 'RMSprop'}",-0.6937691003084183,-0.5956295957167943,-0.6687714437643687,-0.6527233799298604,0.041641292447118616,2499
2137,1.416564702987671,0.02655511776257754,0.14061307907104492,5.840038639982171e-07,sigmoid,50,50,8,Adagrad,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 8, 'optimizer': 'Adagrad'}",-0.6003949364026387,-0.6080852766831716,-0.6046459908286731,-0.6043754013048278,0.003145393184262511,2026
2138,1.6873754660288494,0.091990382220287,0.15624237060546875,8.485379419351666e-07,sigmoid,50,50,8,Adadelta,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 8, 'optimizer': 'Adadelta'}",-0.5142214834690094,-0.6045270870129268,-0.5434150512019793,-0.5540545405613052,0.03762689249484737,1495
2139,1.5936315059661865,0.04599419226174127,0.14582252502441406,0.019486991777760584,sigmoid,50,50,8,Adam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 8, 'optimizer': 'Adam'}",-0.6262564013401667,-0.49563301702340445,-0.7696976453065872,-0.6305290212233862,0.11192719830169266,2290
2140,1.536346197128296,0.053111825277693266,0.14582379659016928,0.007364684136150743,sigmoid,50,50,8,Adamax,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 8, 'optimizer': 'Adamax'}",-0.583387964963913,-0.5676087528467179,-0.5531810695926348,-0.5680592624677553,0.012336027215215935,1654
2141,1.993310530980428,0.0490490006408905,0.1842838923136393,0.02467318328007585,sigmoid,50,50,8,Nadam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 8, 'optimizer': 'Nadam'}",-0.5089121436079344,-0.5523432523012162,-0.45207909444967903,-0.5044448301196098,0.0410543786115579,853
2142,1.360468864440918,0.06293086051277968,0.2135287125905355,0.060287370768985785,sigmoid,50,50,16,SGD,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 16, 'optimizer': 'SGD'}",-0.6103145519892375,-0.630866369108359,-0.5894074241320292,-0.6101961150765418,0.016925750601067456,2093
2143,1.5623873869578044,0.10899356943432276,0.14061617851257324,7.786718186642895e-07,sigmoid,50,50,16,RMSprop,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 16, 'optimizer': 'RMSprop'}",-0.5547432353099188,-0.5231341893474261,-0.5821400900681813,-0.5533391715751753,0.024109508859857534,1485
2144,1.3540662129720051,0.051553382878115755,0.15623919169108072,0.022094445709787323,sigmoid,50,50,16,Adagrad,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 16, 'optimizer': 'Adagrad'}",-0.5361630891760191,-0.5197381936013699,-0.3902953950067361,-0.482065559261375,0.06523683307330855,498
2145,1.6352994441986084,0.053110142002669024,0.16144673029581705,0.007363447808012514,sigmoid,50,50,16,Adadelta,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 16, 'optimizer': 'Adadelta'}",-0.5418398444851239,-0.6131877760092418,-0.39766449133555093,-0.5175640372766389,0.08964581295614367,1033
2146,1.7082075277964275,0.03210255848424553,0.14582443237304688,0.014730492224274595,sigmoid,50,50,16,Adam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 16, 'optimizer': 'Adam'}",-0.5205817485849062,-0.5685540358225505,-0.4311714495221774,-0.5067690779765447,0.05693028576921184,884
2147,1.4998890558878581,1.1069288474070324e-06,0.1666560173034668,0.007366763466191961,sigmoid,50,50,16,Adamax,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 16, 'optimizer': 'Adamax'}",-0.6133498772978783,-0.5761683990557989,-0.4509623756011327,-0.5468268839849366,0.06946518819676449,1406
2148,1.916525920232137,0.04479972172034156,0.15624022483825684,0.012755909786015355,sigmoid,50,50,16,Nadam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 16, 'optimizer': 'Nadam'}",-0.5090558727582296,-0.5665457708140215,-0.3996120144923528,-0.4917378860215346,0.06924186714397017,688
2149,1.3644828001658122,0.03210499505899598,0.14582308133443198,0.007365527127783902,sigmoid,50,50,32,SGD,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 32, 'optimizer': 'SGD'}",-0.5844307710727056,-0.6571430484453837,-0.5048460652430852,-0.5821399615870582,0.06219608041886537,1799
2150,1.688573916753133,0.03488338220232481,0.19301486015319824,0.0452081788455344,sigmoid,50,50,32,RMSprop,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 32, 'optimizer': 'RMSprop'}",-0.5046996419628461,-0.5111136282483737,-0.45391179124514264,-0.48990835381878745,0.025587746974629354,658
2151,1.51774263381958,0.032417121632091185,0.17706966400146484,0.06292894657757094,sigmoid,50,50,32,Adagrad,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 32, 'optimizer': 'Adagrad'}",-0.5324447010954221,-0.5146006132165591,-0.35986087868611016,-0.46896873099936376,0.07749406620451754,295
2152,1.666545073191325,0.09659235131385278,0.14582212766011557,0.0073641784286458045,sigmoid,50,50,32,Adadelta,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 50, 'num_neurons': 32, 'optimizer': 'Adadelta'}",-0.47808938672145207,-0.5342758124073347,-0.4453047508994738,-0.4858899833427535,0.03673871189172792,559
